,train_rank,train_rank,train_rank,train_rank,train_rank
,mean,std,min,max,range
chemical_class,,,,,
sphingomyelin d18:1,63.0,,63.0,63.0,0.0
spiroketal,177.0,,177.0,177.0,0.0
steroid,69.0,,69.0,69.0,0.0
steroid saponin,124.0,,124.0,124.0,0.0
steroid sulfate,93.0,,93.0,93.0,0.0
sterol,230.0,,230.0,230.0,0.0
sterol ester,122.0,,122.0,122.0,0.0
sulfonamide,97.0,,97.0,97.0,0.0
tannin,183.0,,183.0,183.0,0.0
tertiary amine,240.0,,240.0,240.0,0.0
tetradecanoate ester,193.0,,193.0,193.0,0.0
tetrahydrofuranone,205.0,,205.0,205.0,0.0
tetrapeptide,125.0,,125.0,125.0,0.0
tetrasaccharide,217.0,,217.0,217.0,0.0
tetraterpenoid,45.0,,45.0,45.0,0.0
thiol,126.0,,126.0,126.0,0.0
thiosugar,96.0,,96.0,96.0,0.0
tricarboxylic acid,83.0,,83.0,83.0,0.0
trichlorobenzene,68.0,,68.0,68.0,0.0
trienoic fatty acid,79.0,,79.0,79.0,0.0
triglyceride,1.0,,1.0,1.0,0.0
tripeptide,235.0,,235.0,235.0,0.0
triradylglycerol,3.0,,3.0,3.0,0.0
triterpenoid,127.0,,127.0,127.0,0.0
triterpenoid saponin,103.0,,103.0,103.0,0.0
ultra-long-chain fatty acid,74.0,,74.0,74.0,0.0
unsaturated fatty acid,95.0,,95.0,95.0,0.0
unsaturated fatty acyl-CoA,31.0,,31.0,31.0,0.0
very long-chain fatty acid,94.0,,94.0,94.0,0.0
very long-chain fatty acyl-CoA,28.0,,28.0,28.0,0.0
vitamin D,34.0,,34.0,34.0,0.0
volatile organic compound,224.0,,224.0,224.0,0.0
wax,47.0,,47.0,47.0,0.0
wax ester,13.0,,13.0,13.0,0.0
xanthophyll,112.0,,112.0,112.0,0.0
